Year,Geography,Type of work,National Occupational Classification (NOC),Age,Value
2016,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.74
2017,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.78
2018,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.79
2019,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.71
2020,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],25 to 54 years,0.8
2015,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.72
2016,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.72
2017,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.72
2018,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.76
2019,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.71
2020,New Brunswick,Full-time employees,Occupations in manufacturing and utilities [9],55 years and over,0.81
2015,New Brunswick,Part-time employees,Total employees - all occupations,15 years and over,1.09
2016,New Brunswick,Part-time employees,Total employees - all occupations,15 years and over,1.13
2017,New Brunswick,Part-time employees,Total employees - all occupations,15 years and over,1.1
2018,New Brunswick,Part-time employees,Total employees - all occupations,15 years and over,1.08
2019,New Brunswick,Part-time employees,Total employees - all occupations,15 years and over,1.04
2020,New Brunswick,Part-time employees,Total employees - all occupations,15 years and over,1.08
2015,New Brunswick,Part-time employees,Total employees - all occupations,15 to 24 years,1.01
2016,New Brunswick,Part-time employees,Total employees - all occupations,15 to 24 years,1.0
2017,New Brunswick,Part-time employees,Total employees - all occupations,15 to 24 years,1.0
2018,New Brunswick,Part-time employees,Total employees - all occupations,15 to 24 years,0.98
2019,New Brunswick,Part-time employees,Total employees - all occupations,15 to 24 years,1.02
2020,New Brunswick,Part-time employees,Total employees - all occupations,15 to 24 years,1.01
2015,New Brunswick,Part-time employees,Total employees - all occupations,25 to 54 years,1.2
2016,New Brunswick,Part-time employees,Total employees - all occupations,25 to 54 years,1.0
2017,New Brunswick,Part-time employees,Total employees - all occupations,25 to 54 years,1.14
2018,New Brunswick,Part-time employees,Total employees - all occupations,25 to 54 years,1.0
2019,New Brunswick,Part-time employees,Total employees - all occupations,25 to 54 years,1.0
2020,New Brunswick,Part-time employees,Total employees - all occupations,25 to 54 years,1.29
2015,New Brunswick,Part-time employees,Total employees - all occupations,55 years and over,0.93
2016,New Brunswick,Part-time employees,Total employees - all occupations,55 years and over,0.95
2017,New Brunswick,Part-time employees,Total employees - all occupations,55 years and over,1.04
2018,New Brunswick,Part-time employees,Total employees - all occupations,55 years and over,0.99
2019,New Brunswick,Part-time employees,Total employees - all occupations,55 years and over,1.0
2020,New Brunswick,Part-time employees,Total employees - all occupations,55 years and over,0.97
2015,New Brunswick,Part-time employees,Management occupations [0],15 years and over,
2016,New Brunswick,Part-time employees,Management occupations [0],15 years and over,
2017,New Brunswick,Part-time employees,Management occupations [0],15 years and over,
2018,New Brunswick,Part-time employees,Management occupations [0],15 years and over,
2019,New Brunswick,Part-time employees,Management occupations [0],15 years and over,
2020,New Brunswick,Part-time employees,Management occupations [0],15 years and over,
2015,New Brunswick,Part-time employees,Management occupations [0],15 to 24 years,
2016,New Brunswick,Part-time employees,Management occupations [0],15 to 24 years,
2017,New Brunswick,Part-time employees,Management occupations [0],15 to 24 years,
2018,New Brunswick,Part-time employees,Management occupations [0],15 to 24 years,
2019,New Brunswick,Part-time employees,Management occupations [0],15 to 24 years,
2020,New Brunswick,Part-time employees,Management occupations [0],15 to 24 years,
2015,New Brunswick,Part-time employees,Management occupations [0],25 to 54 years,
2016,New Brunswick,Part-time employees,Management occupations [0],25 to 54 years,
2017,New Brunswick,Part-time employees,Management occupations [0],25 to 54 years,
2018,New Brunswick,Part-time employees,Management occupations [0],25 to 54 years,
2019,New Brunswick,Part-time employees,Management occupations [0],25 to 54 years,
2020,New Brunswick,Part-time employees,Management occupations [0],25 to 54 years,
2015,New Brunswick,Part-time employees,Management occupations [0],55 years and over,
2016,New Brunswick,Part-time employees,Management occupations [0],55 years and over,
2017,New Brunswick,Part-time employees,Management occupations [0],55 years and over,
2018,New Brunswick,Part-time employees,Management occupations [0],55 years and over,
2019,New Brunswick,Part-time employees,Management occupations [0],55 years and over,
2020,New Brunswick,Part-time employees,Management occupations [0],55 years and over,
2015,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.23
2016,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.0
2017,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.42
2018,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.11
2019,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 years and over,0.91
2020,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 years and over,1.0
2015,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2016,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2017,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2018,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2019,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2020,New Brunswick,Part-time employees,Business - finance and administration occupations [1],15 to 24 years,
2015,New Brunswick,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,
2016,New Brunswick,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,
2017,New Brunswick,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,
2018,New Brunswick,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,
2019,New Brunswick,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,
2020,New Brunswick,Part-time employees,Business - finance and administration occupations [1],25 to 54 years,
2015,New Brunswick,Part-time employees,Business - finance and administration occupations [1],55 years and over,
2016,New Brunswick,Part-time employees,Business - finance and administration occupations [1],55 years and over,
2017,New Brunswick,Part-time employees,Business - finance and administration occupations [1],55 years and over,
2018,New Brunswick,Part-time employees,Business - finance and administration occupations [1],55 years and over,
