Year,Units,Geography,Offences,Age of accused,Sex of accused,Value
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Males,76.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Males,50.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Males,64.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Females,15.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Females,85.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Females,99.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Females,38.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Females,42.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Sex unknown,64.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Sex unknown,50.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Sex unknown,71.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,"Total, age of accused",Sex unknown,81.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,"Total, sex of accused",32.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,"Total, sex of accused",84.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,"Total, sex of accused",97.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,"Total, sex of accused",92.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,"Total, sex of accused",84.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Males,36.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Males,71.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Males,64.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Males,120.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Males,172.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Females,15.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Females,67.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Females,106.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Females,124.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Females,92.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Sex unknown,71.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Sex unknown,130.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Sex unknown,103.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,12 to 15 years,Sex unknown,78.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,"Total, sex of accused",68.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,"Total, sex of accused",59.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,"Total, sex of accused",68.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,"Total, sex of accused",39.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,"Total, sex of accused",48.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Males,89.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Males,59.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Males,77.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Males,34.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Males,29.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Females,8.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Females,85.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Females,22.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Females,38.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Females,36.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Sex unknown,57.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Sex unknown,47.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Sex unknown,62.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,16 and 17 years,Sex unknown,99.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,"Total, sex of accused",92.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,"Total, sex of accused",33.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,"Total, sex of accused",0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,"Total, sex of accused",0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,"Total, sex of accused",64.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Males,92.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Males,43.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Males,0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Males,0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Males,64.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Females,0.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Females,0.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Females,0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Females,0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Females,0.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Sex unknown,0.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Sex unknown,22.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Sex unknown,0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Sex unknown,0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,Other ages,Sex unknown,0.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,"Total, sex of accused",0.0
2014/2015,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,Company,0.0
2015/2016,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,Company,0.0
2016/2017,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,Company,0.0
2017/2018,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,Company,0.0
2018/2019,Youth courts,Prince Edward Island,Total Criminal Code,Age not applicable,Company,0.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused","Total, sex of accused",51.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused","Total, sex of accused",71.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused","Total, sex of accused",85.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused","Total, sex of accused",50.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused","Total, sex of accused",71.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Males,83.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Males,58.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Males,85.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Males,42.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Males,89.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Females,12.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Females,85.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Females,70.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Females,38.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Females,29.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Company,0.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Company,0.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Company,0.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Company,0.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Company,0.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Sex unknown,54.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Sex unknown,155.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Sex unknown,81.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,"Total, age of accused",Sex unknown,80.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,"Total, sex of accused",36.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,"Total, sex of accused",68.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,"Total, sex of accused",95.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,"Total, sex of accused",78.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,"Total, sex of accused",79.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Males,36.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Males,57.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Males,95.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Males,92.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Males,168.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Females,64.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Females,54.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Females,41.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Females,22.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Females,75.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Sex unknown,51.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Sex unknown,155.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Sex unknown,99.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Sex unknown,78.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,12 to 15 years,Sex unknown,78.0
2014/2015,Youth courts,Prince Edward Island,Crimes against the person,16 and 17 years,"Total, sex of accused",92.0
2015/2016,Youth courts,Prince Edward Island,Crimes against the person,16 and 17 years,"Total, sex of accused",71.0
2016/2017,Youth courts,Prince Edward Island,Crimes against the person,16 and 17 years,"Total, sex of accused",62.0
2017/2018,Youth courts,Prince Edward Island,Crimes against the person,16 and 17 years,"Total, sex of accused",40.0
2018/2019,Youth courts,Prince Edward Island,Crimes against the person,16 and 17 years,"Total, sex of accused",48.0
