Year,Units,Geography,Offences,Age,Sex,Value
2015/2016,Youth courts,Canada,Total Criminal Code,16 and 17 years,Sex unknown,149.0
2016/2017,Youth courts,Canada,Total Criminal Code,16 and 17 years,Sex unknown,146.0
2017/2018,Youth courts,Canada,Total Criminal Code,16 and 17 years,Sex unknown,156.0
2018/2019,Youth courts,Canada,Total Criminal Code,16 and 17 years,Sex unknown,156.0
2014/2015,Youth courts,Canada,Total Criminal Code,Other ages,Total,113.0
2015/2016,Youth courts,Canada,Total Criminal Code,Other ages,Total,125.0
2016/2017,Youth courts,Canada,Total Criminal Code,Other ages,Total,134.0
2017/2018,Youth courts,Canada,Total Criminal Code,Other ages,Total,104.0
2018/2019,Youth courts,Canada,Total Criminal Code,Other ages,Total,141.0
2014/2015,Youth courts,Canada,Total Criminal Code,Other ages,Males,113.0
2015/2016,Youth courts,Canada,Total Criminal Code,Other ages,Males,106.0
2016/2017,Youth courts,Canada,Total Criminal Code,Other ages,Males,104.0
2017/2018,Youth courts,Canada,Total Criminal Code,Other ages,Males,106.0
2018/2019,Youth courts,Canada,Total Criminal Code,Other ages,Males,154.0
2014/2015,Youth courts,Canada,Total Criminal Code,Other ages,Females,102.0
2015/2016,Youth courts,Canada,Total Criminal Code,Other ages,Females,125.0
2016/2017,Youth courts,Canada,Total Criminal Code,Other ages,Females,96.0
2017/2018,Youth courts,Canada,Total Criminal Code,Other ages,Females,85.0
2018/2019,Youth courts,Canada,Total Criminal Code,Other ages,Females,119.0
2014/2015,Youth courts,Canada,Total Criminal Code,Other ages,Sex unknown,163.0
2015/2016,Youth courts,Canada,Total Criminal Code,Other ages,Sex unknown,155.0
2016/2017,Youth courts,Canada,Total Criminal Code,Other ages,Sex unknown,216.0
2017/2018,Youth courts,Canada,Total Criminal Code,Other ages,Sex unknown,120.0
2018/2019,Youth courts,Canada,Total Criminal Code,Other ages,Sex unknown,145.0
2014/2015,Youth courts,Canada,Total Criminal Code,Age not applicable,Total,0.0
2015/2016,Youth courts,Canada,Total Criminal Code,Age not applicable,Total,0.0
2016/2017,Youth courts,Canada,Total Criminal Code,Age not applicable,Total,1.0
2017/2018,Youth courts,Canada,Total Criminal Code,Age not applicable,Total,0.0
2018/2019,Youth courts,Canada,Total Criminal Code,Age not applicable,Total,0.0
2014/2015,Youth courts,Canada,Total Criminal Code,Age not applicable,Company,0.0
2015/2016,Youth courts,Canada,Total Criminal Code,Age not applicable,Company,0.0
2016/2017,Youth courts,Canada,Total Criminal Code,Age not applicable,Company,1.0
2017/2018,Youth courts,Canada,Total Criminal Code,Age not applicable,Company,0.0
2018/2019,Youth courts,Canada,Total Criminal Code,Age not applicable,Company,0.0
2014/2015,Youth courts,Canada,Crimes against the person,Total,Total,169.0
2015/2016,Youth courts,Canada,Crimes against the person,Total,Total,176.0
2016/2017,Youth courts,Canada,Crimes against the person,Total,Total,182.0
2017/2018,Youth courts,Canada,Crimes against the person,Total,Total,183.0
2018/2019,Youth courts,Canada,Crimes against the person,Total,Total,186.0
2014/2015,Youth courts,Canada,Crimes against the person,Total,Males,172.0
2015/2016,Youth courts,Canada,Crimes against the person,Total,Males,183.0
2016/2017,Youth courts,Canada,Crimes against the person,Total,Males,183.0
2017/2018,Youth courts,Canada,Crimes against the person,Total,Males,183.0
2018/2019,Youth courts,Canada,Crimes against the person,Total,Males,190.0
2014/2015,Youth courts,Canada,Crimes against the person,Total,Females,148.0
2015/2016,Youth courts,Canada,Crimes against the person,Total,Females,155.0
2016/2017,Youth courts,Canada,Crimes against the person,Total,Females,169.0
2017/2018,Youth courts,Canada,Crimes against the person,Total,Females,164.0
2018/2019,Youth courts,Canada,Crimes against the person,Total,Females,170.0
2014/2015,Youth courts,Canada,Crimes against the person,Total,Company,0.0
2015/2016,Youth courts,Canada,Crimes against the person,Total,Company,0.0
2016/2017,Youth courts,Canada,Crimes against the person,Total,Company,0.0
2017/2018,Youth courts,Canada,Crimes against the person,Total,Company,0.0
2018/2019,Youth courts,Canada,Crimes against the person,Total,Company,0.0
2014/2015,Youth courts,Canada,Crimes against the person,Total,Sex unknown,201.0
2015/2016,Youth courts,Canada,Crimes against the person,Total,Sex unknown,187.0
2016/2017,Youth courts,Canada,Crimes against the person,Total,Sex unknown,194.0
2017/2018,Youth courts,Canada,Crimes against the person,Total,Sex unknown,193.0
2018/2019,Youth courts,Canada,Crimes against the person,Total,Sex unknown,188.0
2014/2015,Youth courts,Canada,Crimes against the person,12 to 15 years,Total,176.0
2015/2016,Youth courts,Canada,Crimes against the person,12 to 15 years,Total,179.0
2016/2017,Youth courts,Canada,Crimes against the person,12 to 15 years,Total,183.0
2017/2018,Youth courts,Canada,Crimes against the person,12 to 15 years,Total,183.0
2018/2019,Youth courts,Canada,Crimes against the person,12 to 15 years,Total,190.0
2014/2015,Youth courts,Canada,Crimes against the person,12 to 15 years,Males,183.0
2015/2016,Youth courts,Canada,Crimes against the person,12 to 15 years,Males,183.0
2016/2017,Youth courts,Canada,Crimes against the person,12 to 15 years,Males,189.0
2017/2018,Youth courts,Canada,Crimes against the person,12 to 15 years,Males,183.0
2018/2019,Youth courts,Canada,Crimes against the person,12 to 15 years,Males,192.0
2014/2015,Youth courts,Canada,Crimes against the person,12 to 15 years,Females,155.0
2015/2016,Youth courts,Canada,Crimes against the person,12 to 15 years,Females,162.0
2016/2017,Youth courts,Canada,Crimes against the person,12 to 15 years,Females,169.0
2017/2018,Youth courts,Canada,Crimes against the person,12 to 15 years,Females,171.0
2018/2019,Youth courts,Canada,Crimes against the person,12 to 15 years,Females,182.0
2014/2015,Youth courts,Canada,Crimes against the person,12 to 15 years,Sex unknown,187.0
2015/2016,Youth courts,Canada,Crimes against the person,12 to 15 years,Sex unknown,183.0
2016/2017,Youth courts,Canada,Crimes against the person,12 to 15 years,Sex unknown,191.0
2017/2018,Youth courts,Canada,Crimes against the person,12 to 15 years,Sex unknown,209.0
2018/2019,Youth courts,Canada,Crimes against the person,12 to 15 years,Sex unknown,186.0
2014/2015,Youth courts,Canada,Crimes against the person,16 and 17 years,Total,163.0
2015/2016,Youth courts,Canada,Crimes against the person,16 and 17 years,Total,175.0
2016/2017,Youth courts,Canada,Crimes against the person,16 and 17 years,Total,177.0
2017/2018,Youth courts,Canada,Crimes against the person,16 and 17 years,Total,180.0
2018/2019,Youth courts,Canada,Crimes against the person,16 and 17 years,Total,182.0
2014/2015,Youth courts,Canada,Crimes against the person,16 and 17 years,Males,165.0
2015/2016,Youth courts,Canada,Crimes against the person,16 and 17 years,Males,181.0
2016/2017,Youth courts,Canada,Crimes against the person,16 and 17 years,Males,180.0
2017/2018,Youth courts,Canada,Crimes against the person,16 and 17 years,Males,183.0
2018/2019,Youth courts,Canada,Crimes against the person,16 and 17 years,Males,189.0
2014/2015,Youth courts,Canada,Crimes against the person,16 and 17 years,Females,144.0
2015/2016,Youth courts,Canada,Crimes against the person,16 and 17 years,Females,148.0
2016/2017,Youth courts,Canada,Crimes against the person,16 and 17 years,Females,169.0
2017/2018,Youth courts,Canada,Crimes against the person,16 and 17 years,Females,157.0
2018/2019,Youth courts,Canada,Crimes against the person,16 and 17 years,Females,160.0
2014/2015,Youth courts,Canada,Crimes against the person,16 and 17 years,Sex unknown,212.0
2015/2016,Youth courts,Canada,Crimes against the person,16 and 17 years,Sex unknown,189.0
2016/2017,Youth courts,Canada,Crimes against the person,16 and 17 years,Sex unknown,187.0
2017/2018,Youth courts,Canada,Crimes against the person,16 and 17 years,Sex unknown,189.0
2018/2019,Youth courts,Canada,Crimes against the person,16 and 17 years,Sex unknown,190.0
2014/2015,Youth courts,Canada,Crimes against the person,Other ages,Total,148.0
2015/2016,Youth courts,Canada,Crimes against the person,Other ages,Total,192.0
2016/2017,Youth courts,Canada,Crimes against the person,Other ages,Total,183.0
2017/2018,Youth courts,Canada,Crimes against the person,Other ages,Total,151.0
2018/2019,Youth courts,Canada,Crimes against the person,Other ages,Total,204.0
2014/2015,Youth courts,Canada,Crimes against the person,Other ages,Males,155.0
2015/2016,Youth courts,Canada,Crimes against the person,Other ages,Males,164.0
2016/2017,Youth courts,Canada,Crimes against the person,Other ages,Males,165.0
2017/2018,Youth courts,Canada,Crimes against the person,Other ages,Males,222.0
2018/2019,Youth courts,Canada,Crimes against the person,Other ages,Males,223.0
2014/2015,Youth courts,Canada,Crimes against the person,Other ages,Females,120.0
2015/2016,Youth courts,Canada,Crimes against the person,Other ages,Females,232.0
2016/2017,Youth courts,Canada,Crimes against the person,Other ages,Females,155.0
2017/2018,Youth courts,Canada,Crimes against the person,Other ages,Females,92.0
2018/2019,Youth courts,Canada,Crimes against the person,Other ages,Females,134.0
2014/2015,Youth courts,Canada,Crimes against the person,Other ages,Sex unknown,203.0
2015/2016,Youth courts,Canada,Crimes against the person,Other ages,Sex unknown,289.0
2016/2017,Youth courts,Canada,Crimes against the person,Other ages,Sex unknown,235.0
2017/2018,Youth courts,Canada,Crimes against the person,Other ages,Sex unknown,124.0
2018/2019,Youth courts,Canada,Crimes against the person,Other ages,Sex unknown,173.0
2014/2015,Youth courts,Canada,Crimes against the person,Age not applicable,Total,0.0
2015/2016,Youth courts,Canada,Crimes against the person,Age not applicable,Total,0.0
2016/2017,Youth courts,Canada,Crimes against the person,Age not applicable,Total,0.0
2017/2018,Youth courts,Canada,Crimes against the person,Age not applicable,Total,0.0
2018/2019,Youth courts,Canada,Crimes against the person,Age not applicable,Total,0.0
2014/2015,Youth courts,Canada,Crimes against the person,Age not applicable,Company,0.0
2015/2016,Youth courts,Canada,Crimes against the person,Age not applicable,Company,0.0
2016/2017,Youth courts,Canada,Crimes against the person,Age not applicable,Company,0.0
2017/2018,Youth courts,Canada,Crimes against the person,Age not applicable,Company,0.0
2018/2019,Youth courts,Canada,Crimes against the person,Age not applicable,Company,0.0
2014/2015,Youth courts,Canada,Crimes against property,Total,Total,120.0
2015/2016,Youth courts,Canada,Crimes against property,Total,Total,118.0
2016/2017,Youth courts,Canada,Crimes against property,Total,Total,127.0
2017/2018,Youth courts,Canada,Crimes against property,Total,Total,127.0
2018/2019,Youth courts,Canada,Crimes against property,Total,Total,141.0
2014/2015,Youth courts,Canada,Crimes against property,Total,Males,120.0
2015/2016,Youth courts,Canada,Crimes against property,Total,Males,118.0
2016/2017,Youth courts,Canada,Crimes against property,Total,Males,127.0
2017/2018,Youth courts,Canada,Crimes against property,Total,Males,129.0
2018/2019,Youth courts,Canada,Crimes against property,Total,Males,141.0
2014/2015,Youth courts,Canada,Crimes against property,Total,Females,112.0
2015/2016,Youth courts,Canada,Crimes against property,Total,Females,113.0
2016/2017,Youth courts,Canada,Crimes against property,Total,Females,127.0
2017/2018,Youth courts,Canada,Crimes against property,Total,Females,121.0
2018/2019,Youth courts,Canada,Crimes against property,Total,Females,140.0
2014/2015,Youth courts,Canada,Crimes against property,Total,Company,0.0
2015/2016,Youth courts,Canada,Crimes against property,Total,Company,0.0
2016/2017,Youth courts,Canada,Crimes against property,Total,Company,1.0
2017/2018,Youth courts,Canada,Crimes against property,Total,Company,0.0
2018/2019,Youth courts,Canada,Crimes against property,Total,Company,0.0
2014/2015,Youth courts,Canada,Crimes against property,Total,Sex unknown,136.0
2015/2016,Youth courts,Canada,Crimes against property,Total,Sex unknown,127.0
2016/2017,Youth courts,Canada,Crimes against property,Total,Sex unknown,146.0
2017/2018,Youth courts,Canada,Crimes against property,Total,Sex unknown,149.0
2018/2019,Youth courts,Canada,Crimes against property,Total,Sex unknown,164.0
2014/2015,Youth courts,Canada,Crimes against property,12 to 15 years,Total,120.0
2015/2016,Youth courts,Canada,Crimes against property,12 to 15 years,Total,120.0
2016/2017,Youth courts,Canada,Crimes against property,12 to 15 years,Total,132.0
2017/2018,Youth courts,Canada,Crimes against property,12 to 15 years,Total,128.0
2018/2019,Youth courts,Canada,Crimes against property,12 to 15 years,Total,148.0
2014/2015,Youth courts,Canada,Crimes against property,12 to 15 years,Males,120.0
2015/2016,Youth courts,Canada,Crimes against property,12 to 15 years,Males,120.0
2016/2017,Youth courts,Canada,Crimes against property,12 to 15 years,Males,127.0
2017/2018,Youth courts,Canada,Crimes against property,12 to 15 years,Males,129.0
2018/2019,Youth courts,Canada,Crimes against property,12 to 15 years,Males,141.0
2014/2015,Youth courts,Canada,Crimes against property,12 to 15 years,Females,117.0
2015/2016,Youth courts,Canada,Crimes against property,12 to 15 years,Females,120.0
2016/2017,Youth courts,Canada,Crimes against property,12 to 15 years,Females,128.0
2017/2018,Youth courts,Canada,Crimes against property,12 to 15 years,Females,122.0
2018/2019,Youth courts,Canada,Crimes against property,12 to 15 years,Females,147.0
2014/2015,Youth courts,Canada,Crimes against property,12 to 15 years,Sex unknown,133.0
2015/2016,Youth courts,Canada,Crimes against property,12 to 15 years,Sex unknown,129.0
2016/2017,Youth courts,Canada,Crimes against property,12 to 15 years,Sex unknown,155.0
2017/2018,Youth courts,Canada,Crimes against property,12 to 15 years,Sex unknown,144.0
2018/2019,Youth courts,Canada,Crimes against property,12 to 15 years,Sex unknown,171.0
2014/2015,Youth courts,Canada,Crimes against property,16 and 17 years,Total,120.0
2015/2016,Youth courts,Canada,Crimes against property,16 and 17 years,Total,115.0
2016/2017,Youth courts,Canada,Crimes against property,16 and 17 years,Total,127.0
2017/2018,Youth courts,Canada,Crimes against property,16 and 17 years,Total,127.0
2018/2019,Youth courts,Canada,Crimes against property,16 and 17 years,Total,141.0
2014/2015,Youth courts,Canada,Crimes against property,16 and 17 years,Males,120.0
2015/2016,Youth courts,Canada,Crimes against property,16 and 17 years,Males,117.0
2016/2017,Youth courts,Canada,Crimes against property,16 and 17 years,Males,127.0
2017/2018,Youth courts,Canada,Crimes against property,16 and 17 years,Males,129.0
2018/2019,Youth courts,Canada,Crimes against property,16 and 17 years,Males,141.0
2014/2015,Youth courts,Canada,Crimes against property,16 and 17 years,Females,108.0
2015/2016,Youth courts,Canada,Crimes against property,16 and 17 years,Females,112.0
2016/2017,Youth courts,Canada,Crimes against property,16 and 17 years,Females,124.0
2017/2018,Youth courts,Canada,Crimes against property,16 and 17 years,Females,121.0
2018/2019,Youth courts,Canada,Crimes against property,16 and 17 years,Females,134.0
2014/2015,Youth courts,Canada,Crimes against property,16 and 17 years,Sex unknown,135.0
2015/2016,Youth courts,Canada,Crimes against property,16 and 17 years,Sex unknown,120.0
2016/2017,Youth courts,Canada,Crimes against property,16 and 17 years,Sex unknown,130.0
2017/2018,Youth courts,Canada,Crimes against property,16 and 17 years,Sex unknown,155.0
2018/2019,Youth courts,Canada,Crimes against property,16 and 17 years,Sex unknown,157.0
2014/2015,Youth courts,Canada,Crimes against property,Other ages,Total,106.0
2015/2016,Youth courts,Canada,Crimes against property,Other ages,Total,108.0
2016/2017,Youth courts,Canada,Crimes against property,Other ages,Total,149.0
2017/2018,Youth courts,Canada,Crimes against property,Other ages,Total,106.0
2018/2019,Youth courts,Canada,Crimes against property,Other ages,Total,116.0
2014/2015,Youth courts,Canada,Crimes against property,Other ages,Males,102.0
2015/2016,Youth courts,Canada,Crimes against property,Other ages,Males,92.0
2016/2017,Youth courts,Canada,Crimes against property,Other ages,Males,135.0
2017/2018,Youth courts,Canada,Crimes against property,Other ages,Males,104.0
2018/2019,Youth courts,Canada,Crimes against property,Other ages,Males,103.0
2014/2015,Youth courts,Canada,Crimes against property,Other ages,Females,92.0
2015/2016,Youth courts,Canada,Crimes against property,Other ages,Females,89.0
2016/2017,Youth courts,Canada,Crimes against property,Other ages,Females,84.0
2017/2018,Youth courts,Canada,Crimes against property,Other ages,Females,98.0
2018/2019,Youth courts,Canada,Crimes against property,Other ages,Females,138.0
2014/2015,Youth courts,Canada,Crimes against property,Other ages,Sex unknown,187.0
2015/2016,Youth courts,Canada,Crimes against property,Other ages,Sex unknown,152.0
2016/2017,Youth courts,Canada,Crimes against property,Other ages,Sex unknown,197.0
