Year,Geography,Industry,Enterprise size,Innovations with environmental benefits,GeoCode,Value
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,3.7
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Reduced consumption of resources through recycling (water, waste or material)",,22.4
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,0.0
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with environmental benefits related to increased environmental protection activities,,11.2
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution",,3.7
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced greenhouse gas emissions,,11.2
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with environmental benefits related to the end user or consumer,,24.2
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced energy use or increased energy efficiency for the end user or consumer,,7.4
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced material use or increased recycling for the end user or consumer,,24.2
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),"Reduced air, water, soil or noise pollution for the end user or consumer",,3.7
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Reduced greenhouse gas emissions for the end user or consumer,,3.7
2020/2022,Canada,Management of companies and enterprises,Large enterprises (250 and more employees),Innovations with other environmental benefits,,6.7
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with any environmental benefits,,39.9
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits from production through efficient use of resources,,35.2
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency through reduced material use per unit of output,,18.9
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency through reduced energy use per unit of output,,18.1
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,18.9
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced consumption of resources through recycling (water, waste or material)",,20.6
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,4.3
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits related to increased environmental protection activities,,16.4
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution",,13.8
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced greenhouse gas emissions,,12.5
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with environmental benefits related to the end user or consumer,,21.3
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced energy use or increased energy efficiency for the end user or consumer,,11.2
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced material use or increased recycling for the end user or consumer,,16.7
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes","Reduced air, water, soil or noise pollution for the end user or consumer",,9.5
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Reduced greenhouse gas emissions for the end user or consumer,,7.1
2020/2022,Canada,"Administrative and support, waste management and remediation services","Total, all enterprise sizes",Innovations with other environmental benefits,,17.6
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with any environmental benefits,,40.8
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with environmental benefits from production through efficient use of resources,,36.4
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced material use per unit of output,,19.4
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Improved resource efficiency through reduced energy use per unit of output,,18.3
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Improved resource efficiency by replacing material with less greenhouse-gas-intensive alternatives,,20.2
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Reduced consumption of resources through recycling (water, waste or material)",,20.2
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Renewable fuels (ethanol, biodiesel, biogas, biochar, hydrogen)",,5.0
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to increased environmental protection activities,,15.8
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),"Reduced air, water, soil or noise pollution",,13.8
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Reduced greenhouse gas emissions,,12.6
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Innovations with environmental benefits related to the end user or consumer,,22.0
2020/2022,Canada,"Administrative and support, waste management and remediation services",Small enterprises (20 to 99 employees),Reduced energy use or increased energy efficiency for the end user or consumer,,11.5
